Product ID,Product Name,Category,Sub-category,Brand,Price,Discount (%),Rating,Number of Reviews,Availability Status,Color Options,Sizes Available,Material,Shipping Time,Country of Origin,Date Added,Total Sales
P00011,Sports Shoes,Footwear,Pants,Vero Moda,4989,25,3.6,330,Out of Stock,"Red, White","M, L, XL",Leather,6-7 days,Gujarat,2020-04-24,1646370
P00012,Floral Top,Bottomwear,Formal Wear,Puma,7990,35,3.8,180,Out of Stock,"Blue, Black","28, 30, 32, 34",Linen,6-7 days,Tamil Nadu,2023-07-20,1438200
P00013,Running Shoes,Footwear,Blouses,Uniqlo,6520,37,3.9,700,Out of Stock,"Blue, Black","28, 30, 32, 34",Wool,2-3 days,Uttar Pradesh,2023-02-26,4564000
P00014,Sports Shoes,Dresses,Boots,H&M,8530,19,3.2,637,Out of Stock,"Red, White","S, M, L, XL",Wool,1 week,Maharashtra,2020-08-28,5433610
P00015,Denim Jacket,Bottomwear,Jackets,Nike,4921,19,4.9,399,Out of Stock,"Red, White","M, L, XL",Polyester,2-3 days,Maharashtra,2024-08-23,1963479
P00016,Denim Jacket,Outerwear,Boots,Mango,3743,21,4.8,846,Out of Stock,"Red, White","30, 32, 34, 36",Wool,2-3 days,Tamil Nadu,2022-02-17,3166578
P00017,Running Shoes,Topwear,Jeans,Puma,9716,33,3.8,767,Out of Stock,"Red, White","M, L, XL",Silk,6-7 days,Karnataka,2022-11-01,7452172
P00018,Woolen Sweater,Bottomwear,Jackets,Puma,2201,19,3.9,182,In Stock,"Pink, Purple","S, M, L, XL",Polyester,2-3 days,Maharashtra,2022-06-14,400582
P00019,Sneakers,Footwear,Sweaters,Tommy Hilfiger,3751,30,3.4,550,In Stock,"Red, White","28, 30, 32, 34",Cotton,10 days,Delhi,2023-07-09,2063050
P00020,Maxi Dress,Footwear,Skirts,Mango,8018,16,3.2,521,Out of Stock,"Green, Yellow","S, M, L, XL",Linen,6-7 days,Maharashtra,2024-07-15,4177378
P00021,Track Pants,Topwear,Kurtas,Arrow,8504,29,3.3,109,In Stock,"Blue, Black","28, 30, 32, 34",Silk,10 days,Uttar Pradesh,2024-05-05,926936
P00022,Blazer,Outerwear,Shirts,Forever 21,567,38,3.9,978,In Stock,"Blue, Black","30, 32, 34, 36",Polyester,1 week,Delhi,2021-10-22,554526
P00023,Casual Shorts,Ethnic,Sweaters,Vero Moda,8295,30,4.1,586,In Stock,"Blue, Black","M, L, XL",Linen,6-7 days,Karnataka,2022-02-14,4860870
P00024,Cotton T-shirt,Dresses,Pants,Uniqlo,2077,5,3.2,545,In Stock,"Grey, Black","M, L, XL",Polyester,10 days,Delhi,2024-07-31,1131965
P00025,Ankle Boots,Topwear,Sweaters,Van Heusen,4193,21,3.9,771,In Stock,"Red, White","30, 32, 34, 36",Silk,4-5 days,Karnataka,2021-10-10,3232803
P00026,Track Pants,Topwear,Shorts,Ralph Lauren,4717,32,3.2,940,Out of Stock,"Red, White","30, 32, 34, 36",Silk,1 week,Delhi,2023-07-02,4433980
P00027,Ankle Boots,Ethnic,Blouses,Uniqlo,9332,28,4.1,234,Out of Stock,"Grey, Black","M, L, XL",Cotton,6-7 days,Tamil Nadu,2023-12-25,2183688
P00028,Floral Top,Ethnic,Shirts,Clarks,8947,5,3.2,539,In Stock,"Pink, Purple","6, 7, 8, 9",Polyester,2-3 days,Gujarat,2022-09-24,4822433
P00029,Maxi Dress,Footwear,Casual Shoes,Nike,2101,42,4.7,498,In Stock,"Green, Yellow","S, M, L, XL",Linen,6-7 days,Uttar Pradesh,2021-06-27,1046298
P00030,Cotton T-shirt,Footwear,Skirts,H&M,3262,36,3.5,268,Out of Stock,"Pink, Purple","30, 32, 34, 36",Leather,10 days,Karnataka,2024-10-13,874216
P00031,Floral Top,Outerwear,Boots,Vero Moda,4951,20,3.4,865,Out of Stock,"Grey, Black","6, 7, 8, 9",Leather,6-7 days,Tamil Nadu,2023-01-19,4282615
P00032,Sneakers,Topwear,Shorts,Mango,5172,14,4.0,923,In Stock,"Green, Yellow","6, 7, 8, 9",Wool,2-3 days,Delhi,2020-01-06,4773756
P00033,Cotton T-shirt,Ethnic,Casual Shoes,Van Heusen,1463,16,3.5,481,Out of Stock,"Red, White","M, L, XL",Polyester,2-3 days,Uttar Pradesh,2022-12-04,703703
P00034,Knee-Length Skirt,Bottomwear,Casual Shoes,Mango,5734,48,4.0,877,In Stock,"Blue, Black","7, 8, 9, 10",Denim,1 week,Karnataka,2023-09-02,5028718
P00035,Sports Shoes,Ethnic,Blouses,Clarks,9090,16,3.3,214,Out of Stock,"Blue, Black","6, 7, 8, 9",Cotton,1 week,Maharashtra,2021-07-11,1945260
P00036,Leather Jacket,Ethnic,Shorts,Forever 21,6646,49,3.3,426,Out of Stock,"Red, White","28, 30, 32, 34",Polyester,6-7 days,Karnataka,2023-08-10,2831196
P00037,Cotton T-shirt,Footwear,Blouses,Adidas,8436,39,3.5,833,Out of Stock,"Green, Yellow","6, 7, 8, 9",Wool,10 days,Gujarat,2020-09-29,7027188
P00038,Slim Fit Jeans,Outerwear,Sports Shoes,Clarks,9890,8,3.9,732,In Stock,"Green, Yellow","M, L, XL",Linen,4-5 days,Maharashtra,2023-03-30,7239480
P00039,Casual Shorts,Outerwear,Pants,Reebok,7249,21,4.2,526,Out of Stock,"Pink, Purple","30, 32, 34, 36",Wool,6-7 days,Karnataka,2022-03-11,3812974
P00040,Party Gown,Bottomwear,Skirts,Zara,9818,42,3.1,938,In Stock,"Red, White","M, L, XL",Linen,1 week,Gujarat,2023-10-23,9209284
P00041,Polo T-shirt,Ethnic,Skirts,Adidas,6315,36,4.8,687,Out of Stock,"Green, Yellow","6, 7, 8, 9",Linen,6-7 days,Tamil Nadu,2023-10-19,4338405
P00042,Running Shoes,Outerwear,Western Wear,Forever 21,3647,26,4.1,886,Out of Stock,"Green, Yellow","30, 32, 34, 36",Polyester,1 week,Karnataka,2021-11-29,3231242
P00043,Chinos,Footwear,Jackets,Clarks,2004,9,4.0,775,Out of Stock,"Grey, Black","6, 7, 8, 9",Polyester,4-5 days,Delhi,2022-02-15,1553100
P00044,Ethnic Kurta,Footwear,Blouses,Mango,3803,16,4.3,341,Out of Stock,"Grey, Black","28, 30, 32, 34",Cotton,4-5 days,Karnataka,2022-08-28,1296823
P00045,Casual Shorts,Outerwear,Shirts,Nike,5996,22,4.9,163,Out of Stock,"Blue, Black","28, 30, 32, 34",Polyester,10 days,Maharashtra,2023-07-19,977348
P00046,Running Shoes,Footwear,Jeans,Clarks,6712,20,4.2,199,In Stock,"Blue, Black","S, M, L, XL",Cotton,2-3 days,Gujarat,2021-02-27,1335688
P00047,Woolen Sweater,Outerwear,Casual Shoes,Reebok,8401,36,3.3,382,In Stock,"Grey, Black","30, 32, 34, 36",Wool,2-3 days,Tamil Nadu,2024-10-05,3209182
P00048,Casual Shorts,Ethnic,Skirts,Arrow,5934,37,4.8,725,In Stock,"Red, White","6, 7, 8, 9",Linen,4-5 days,Delhi,2020-08-12,4302150
P00049,Chinos,Outerwear,Western Wear,Vero Moda,6310,47,4.8,538,In Stock,"Red, White","28, 30, 32, 34",Denim,4-5 days,Tamil Nadu,2023-06-03,3394780
P00050,Party Gown,Footwear,Blouses,Adidas,2007,10,3.1,704,In Stock,"Pink, Purple","6, 7, 8, 9",Linen,10 days,Maharashtra,2023-10-03,1412928
P00051,Track Pants,Outerwear,Shorts,Reebok,7793,26,4.6,486,In Stock,"Green, Yellow","7, 8, 9, 10",Linen,10 days,Karnataka,2023-02-18,3787398
P00052,Party Gown,Topwear,Jackets,H&M,8557,20,4.8,665,Out of Stock,"Pink, Purple","M, L, XL",Leather,2-3 days,Uttar Pradesh,2023-08-12,5690405
P00053,Polo T-shirt,Bottomwear,Pants,Levis,8283,40,3.9,973,In Stock,"Grey, Black","30, 32, 34, 36",Leather,4-5 days,Maharashtra,2023-03-16,8059359
P00054,Casual Shorts,Footwear,Blouses,Puma,1237,34,3.7,359,Out of Stock,"Grey, Black","30, 32, 34, 36",Wool,4-5 days,Tamil Nadu,2022-07-13,444083
P00055,Blazer,Bottomwear,Casual Shoes,Adidas,7044,13,3.8,763,In Stock,"Blue, Black","30, 32, 34, 36",Linen,2-3 days,Delhi,2020-09-03,5374572
P00056,Maxi Dress,Ethnic,Skirts,Tommy Hilfiger,6274,21,4.0,478,Out of Stock,"Red, White","30, 32, 34, 36",Silk,2-3 days,Maharashtra,2022-03-17,2998972
P00057,Woolen Sweater,Dresses,T-shirts,Nike,2699,32,4.5,81,Out of Stock,"Pink, Purple","28, 30, 32, 34",Leather,4-5 days,Maharashtra,2022-08-29,218619
P00058,Ankle Boots,Topwear,Pants,Puma,5868,31,4.2,283,In Stock,"Pink, Purple","M, L, XL",Cotton,1 week,Gujarat,2021-10-01,1660644
P00059,Sneakers,Bottomwear,Skirts,H&M,6376,19,4.0,292,In Stock,"Grey, Black","28, 30, 32, 34",Wool,10 days,Gujarat,2023-04-14,1861792
P00060,Sports Shoes,Outerwear,Formal Wear,Puma,3065,37,4.1,374,Out of Stock,"Green, Yellow","S, M, L, XL",Linen,2-3 days,Delhi,2020-10-14,1146310
P00061,Track Pants,Footwear,Jeans,Nike,2831,9,4.4,445,In Stock,"Grey, Black","30, 32, 34, 36",Leather,10 days,Delhi,2022-06-06,1259795
P00062,Slim Fit Jeans,Topwear,Shirts,Van Heusen,2382,15,4.6,686,In Stock,"Red, White","7, 8, 9, 10",Wool,2-3 days,Uttar Pradesh,2021-03-17,1634052
P00063,Sports Shoes,Ethnic,Pants,FabIndia,4068,30,4.0,389,Out of Stock,"Green, Yellow","S, M, L, XL",Leather,4-5 days,Delhi,2021-06-30,1582452
P00064,Ankle Boots,Ethnic,Western Wear,Arrow,9372,41,3.6,785,Out of Stock,"Pink, Purple","30, 32, 34, 36",Wool,1 week,Karnataka,2024-04-28,7357020
P00065,Blazer,Footwear,Formal Wear,H&M,9502,16,4.0,119,In Stock,"Grey, Black","S, M, L, XL",Silk,1 week,Karnataka,2022-11-24,1130738
P00066,Running Shoes,Outerwear,Shorts,Mango,8145,29,4.1,437,Out of Stock,"Grey, Black","28, 30, 32, 34",Linen,10 days,Gujarat,2023-05-17,3559365
P00067,Party Gown,Topwear,Skirts,Van Heusen,1083,21,3.3,865,Out of Stock,"Red, White","M, L, XL",Silk,6-7 days,Maharashtra,2020-05-18,936795
P00068,Knee-Length Skirt,Dresses,Casual Shoes,Puma,5290,10,4.9,782,Out of Stock,"Red, White","30, 32, 34, 36",Cotton,10 days,Karnataka,2020-12-28,4136780
P00069,Chinos,Ethnic,Shirts,Adidas,1558,29,4.6,414,In Stock,"Pink, Purple","S, M, L, XL",Polyester,10 days,Maharashtra,2023-07-26,645012
P00070,Ankle Boots,Ethnic,Casual Shoes,Nike,3129,41,3.8,386,In Stock,"Blue, Black","M, L, XL",Wool,2-3 days,Delhi,2022-09-03,1207794
P00071,Slim Fit Jeans,Bottomwear,Sports Shoes,Van Heusen,2880,15,4.7,184,In Stock,"Green, Yellow","7, 8, 9, 10",Wool,2-3 days,Gujarat,2024-10-11,529920
P00072,Casual Shorts,Topwear,Jeans,Reebok,6729,46,3.9,68,In Stock,"Pink, Purple","M, L, XL",Cotton,10 days,Delhi,2021-05-30,457572
P00073,Polo T-shirt,Outerwear,Kurtas,Zara,1595,45,5.0,181,Out of Stock,"Grey, Black","6, 7, 8, 9",Silk,10 days,Delhi,2023-06-24,288695
P00074,Maxi Dress,Bottomwear,Shirts,Uniqlo,2752,26,4.4,583,In Stock,"Grey, Black","6, 7, 8, 9",Silk,10 days,Maharashtra,2024-05-26,1604416
P00075,Slim Fit Jeans,Topwear,Shirts,Mango,5353,40,3.4,848,In Stock,"Pink, Purple","7, 8, 9, 10",Linen,10 days,Maharashtra,2022-11-21,4539344
P00076,Woolen Sweater,Topwear,Kurtas,Zara,6653,17,3.7,483,Out of Stock,"Green, Yellow","S, M, L, XL",Wool,10 days,Tamil Nadu,2021-04-30,3213399
P00077,Floral Top,Dresses,Skirts,Vero Moda,3999,25,4.9,150,In Stock,"Pink, Purple","28, 30, 32, 34",Wool,4-5 days,Uttar Pradesh,2020-12-05,599850
P00078,Party Gown,Topwear,Pants,Levis,1579,6,4.9,521,In Stock,"Grey, Black","28, 30, 32, 34",Leather,1 week,Delhi,2024-09-07,822659
P00079,Slim Fit Jeans,Dresses,Blouses,Van Heusen,7413,33,3.9,779,Out of Stock,"Red, White","30, 32, 34, 36",Silk,10 days,Gujarat,2022-03-08,5774727
P00080,Running Shoes,Ethnic,Blouses,Harley Davidson,2493,23,3.6,490,Out of Stock,"Grey, Black","7, 8, 9, 10",Silk,6-7 days,Gujarat,2023-10-27,1221570
P00081,Sneakers,Dresses,Skirts,Clarks,5642,18,4.0,912,In Stock,"Red, White","6, 7, 8, 9",Leather,6-7 days,Maharashtra,2021-04-10,5145504
P00082,Blazer,Ethnic,Blouses,Levis,1301,30,3.6,428,Out of Stock,"Red, White","M, L, XL",Wool,4-5 days,Maharashtra,2021-03-18,556828
P00083,Sports Shoes,Topwear,Casual Shoes,Levis,3005,27,4.7,671,Out of Stock,"Grey, Black","M, L, XL",Cotton,10 days,Delhi,2021-09-04,2016355
P00084,Running Shoes,Footwear,Jackets,Reebok,1885,48,4.2,883,Out of Stock,"Pink, Purple","S, M, L, XL",Wool,1 week,Uttar Pradesh,2024-03-13,1664455
P00085,Sneakers,Dresses,Jeans,Reebok,5251,29,4.0,981,In Stock,"Green, Yellow","7, 8, 9, 10",Leather,6-7 days,Uttar Pradesh,2021-01-31,5151231
P00086,Denim Jacket,Bottomwear,Skirts,Harley Davidson,9776,18,3.1,882,Out of Stock,"Blue, Black","6, 7, 8, 9",Wool,10 days,Tamil Nadu,2024-03-21,8622432
P00087,Woolen Sweater,Ethnic,Sweaters,Arrow,9927,20,3.7,320,Out of Stock,"Red, White","30, 32, 34, 36",Cotton,10 days,Gujarat,2024-02-09,3176640
P00088,Ankle Boots,Bottomwear,Formal Wear,Reebok,2218,6,4.8,250,In Stock,"Green, Yellow","S, M, L, XL",Linen,1 week,Uttar Pradesh,2020-11-12,554500
P00089,Maxi Dress,Bottomwear,T-shirts,Van Heusen,9746,5,4.0,857,In Stock,"Red, White","30, 32, 34, 36",Linen,10 days,Maharashtra,2023-05-09,8352322
P00090,Leather Jacket,Dresses,Boots,Vero Moda,8858,14,4.8,733,Out of Stock,"Pink, Purple","7, 8, 9, 10",Silk,2-3 days,Delhi,2022-12-03,6492914
P00091,Cotton T-shirt,Footwear,Formal Wear,Tommy Hilfiger,9403,29,4.1,900,In Stock,"Blue, Black","7, 8, 9, 10",Denim,1 week,Delhi,2023-02-28,8462700
P00092,Formal Shirt,Footwear,Jeans,Forever 21,8503,12,4.0,781,Out of Stock,"Blue, Black","30, 32, 34, 36",Silk,4-5 days,Uttar Pradesh,2022-10-10,6640843
P00093,Party Gown,Ethnic,Pants,Reebok,6728,21,3.4,483,In Stock,"Pink, Purple","28, 30, 32, 34",Cotton,2-3 days,Maharashtra,2021-04-01,3249624
P00094,Cotton T-shirt,Footwear,Sweaters,Puma,3989,34,3.3,91,Out of Stock,"Pink, Purple","7, 8, 9, 10",Leather,10 days,Maharashtra,2024-09-13,362999
P00095,Blazer,Outerwear,Skirts,Nike,4470,30,3.4,734,Out of Stock,"Blue, Black","28, 30, 32, 34",Polyester,1 week,Tamil Nadu,2022-02-17,3280980
P00096,Cotton T-shirt,Topwear,Shorts,Reebok,3721,27,3.8,472,Out of Stock,"Blue, Black","7, 8, 9, 10",Silk,2-3 days,Gujarat,2022-06-18,1756312
P00097,Track Pants,Dresses,Sports Shoes,Uniqlo,7194,13,3.2,171,Out of Stock,"Red, White","28, 30, 32, 34",Silk,2-3 days,Delhi,2021-08-31,1230174
P00098,Ankle Boots,Bottomwear,Formal Wear,Mango,6524,10,4.1,47,Out of Stock,"Blue, Black","7, 8, 9, 10",Silk,1 week,Uttar Pradesh,2024-01-26,306628
P00099,Party Gown,Bottomwear,Skirts,Arrow,4921,13,3.0,715,Out of Stock,"Grey, Black","7, 8, 9, 10",Cotton,1 week,Gujarat,2021-11-02,3518515
P00100,Party Gown,Dresses,Western Wear,Harley Davidson,2802,26,4.6,756,Out of Stock,"Blue, Black","M, L, XL",Denim,1 week,Uttar Pradesh,2024-01-06,2118312
P00101,Formal Shirt,Dresses,Pants,Harley Davidson,9265,29,4.0,166,In Stock,"Pink, Purple","6, 7, 8, 9",Cotton,6-7 days,Tamil Nadu,2022-04-27,1537990
P00102,Chinos,Ethnic,Western Wear,Adidas,7458,46,4.4,80,Out of Stock,"Pink, Purple","28, 30, 32, 34",Denim,4-5 days,Maharashtra,2024-04-10,596640
P00103,Denim Jacket,Dresses,Shirts,Ralph Lauren,2133,28,4.3,236,In Stock,"Green, Yellow","28, 30, 32, 34",Polyester,4-5 days,Tamil Nadu,2020-08-13,503388
P00104,Running Shoes,Ethnic,Formal Wear,Nike,9584,50,3.3,403,Out of Stock,"Red, White","28, 30, 32, 34",Silk,1 week,Tamil Nadu,2022-12-28,3862352
P00105,Leather Jacket,Topwear,Pants,Adidas,4391,29,4.9,416,In Stock,"Pink, Purple","M, L, XL",Leather,10 days,Tamil Nadu,2023-12-23,1826656
P00106,Woolen Sweater,Footwear,Boots,FabIndia,6138,40,3.8,729,In Stock,"Grey, Black","7, 8, 9, 10",Leather,4-5 days,Tamil Nadu,2020-09-19,4474602
P00107,Denim Jacket,Topwear,Casual Shoes,Van Heusen,7240,19,3.6,716,In Stock,"Pink, Purple","S, M, L, XL",Wool,10 days,Gujarat,2022-04-09,5183840
P00108,Casual Shorts,Outerwear,Kurtas,Puma,6645,37,3.7,504,In Stock,"Pink, Purple","7, 8, 9, 10",Silk,1 week,Gujarat,2022-11-04,3349080
P00109,Track Pants,Bottomwear,Casual Shoes,Nike,5942,23,4.9,711,Out of Stock,"Green, Yellow","30, 32, 34, 36",Linen,2-3 days,Maharashtra,2021-10-27,4224762
P00110,Woolen Sweater,Dresses,Pants,Zara,4064,39,3.7,155,Out of Stock,"Red, White","6, 7, 8, 9",Linen,10 days,Tamil Nadu,2024-10-15,629920
P00111,Leather Jacket,Bottomwear,Boots,H&M,3869,46,4.9,57,In Stock,"Green, Yellow","28, 30, 32, 34",Wool,10 days,Tamil Nadu,2022-09-10,220533
P00112,Leather Jacket,Dresses,Pants,FabIndia,5228,31,3.9,603,In Stock,"Grey, Black","30, 32, 34, 36",Wool,1 week,Maharashtra,2020-09-23,3152484
P00113,Leather Jacket,Bottomwear,Casual Shoes,Zara,5346,35,3.4,616,Out of Stock,"Grey, Black","6, 7, 8, 9",Polyester,6-7 days,Uttar Pradesh,2024-10-08,3293136
P00114,Sneakers,Dresses,Jackets,Mango,3092,35,3.2,521,In Stock,"Grey, Black","30, 32, 34, 36",Silk,1 week,Karnataka,2020-10-13,1610932
P00115,Sneakers,Bottomwear,Casual Shoes,Levis,508,32,4.5,35,Out of Stock,"Blue, Black","7, 8, 9, 10",Silk,1 week,Maharashtra,2023-12-03,17780
P00116,Running Shoes,Ethnic,Blouses,Adidas,1729,11,3.1,866,Out of Stock,"Blue, Black","S, M, L, XL",Linen,1 week,Tamil Nadu,2023-01-28,1497314
P00117,Leather Jacket,Dresses,Formal Wear,Clarks,2610,26,3.6,998,Out of Stock,"Blue, Black","6, 7, 8, 9",Wool,4-5 days,Gujarat,2024-06-08,2604780
P00118,Leather Jacket,Bottomwear,Casual Shoes,Adidas,6621,48,4.4,866,Out of Stock,"Pink, Purple","7, 8, 9, 10",Wool,2-3 days,Karnataka,2021-07-10,5733786
P00119,Running Shoes,Dresses,Sports Shoes,Zara,6604,31,4.5,778,In Stock,"Green, Yellow","28, 30, 32, 34",Cotton,1 week,Maharashtra,2023-09-02,5137912
P00120,Chinos,Footwear,Jackets,Van Heusen,9033,43,4.5,748,In Stock,"Blue, Black","30, 32, 34, 36",Linen,1 week,Karnataka,2022-01-15,6756684
P00121,Denim Jacket,Ethnic,Kurtas,Puma,6608,48,4.1,662,In Stock,"Pink, Purple","28, 30, 32, 34",Denim,4-5 days,Maharashtra,2023-09-08,4374496
P00122,Ethnic Kurta,Outerwear,Boots,Vero Moda,8058,25,4.4,444,In Stock,"Pink, Purple","28, 30, 32, 34",Polyester,6-7 days,Gujarat,2020-12-18,3577752
P00123,Sneakers,Footwear,Kurtas,Reebok,2855,34,3.5,815,In Stock,"Red, White","30, 32, 34, 36",Wool,6-7 days,Delhi,2021-04-26,2326825
P00124,Floral Top,Outerwear,Blouses,Harley Davidson,1795,31,4.8,599,In Stock,"Blue, Black","30, 32, 34, 36",Linen,10 days,Delhi,2024-11-01,1075205
P00125,Knee-Length Skirt,Bottomwear,Jackets,Adidas,6916,12,4.3,672,In Stock,"Grey, Black","M, L, XL",Leather,4-5 days,Delhi,2020-12-14,4647552
P00126,Leather Jacket,Topwear,Kurtas,Ralph Lauren,9397,38,4.8,370,In Stock,"Red, White","30, 32, 34, 36",Cotton,2-3 days,Maharashtra,2024-08-18,3476890
P00127,Casual Shorts,Topwear,Western Wear,FabIndia,2915,16,3.5,474,In Stock,"Grey, Black","M, L, XL",Linen,2-3 days,Tamil Nadu,2023-02-20,1381710
P00128,Track Pants,Outerwear,Jackets,Levis,1399,28,4.1,272,In Stock,"Red, White","7, 8, 9, 10",Cotton,2-3 days,Uttar Pradesh,2022-12-08,380528
P00129,Slim Fit Jeans,Topwear,Shorts,Levis,7084,17,3.6,780,In Stock,"Grey, Black","30, 32, 34, 36",Linen,10 days,Tamil Nadu,2021-02-03,5525520
P00130,Track Pants,Ethnic,Western Wear,Mango,7253,15,3.0,864,In Stock,"Red, White","S, M, L, XL",Linen,2-3 days,Tamil Nadu,2024-03-26,6266592
P00131,Casual Shorts,Topwear,T-shirts,Arrow,4917,12,4.5,392,In Stock,"Blue, Black","7, 8, 9, 10",Cotton,4-5 days,Gujarat,2022-07-19,1927464
P00132,Track Pants,Ethnic,Jackets,FabIndia,6343,21,3.4,122,Out of Stock,"Green, Yellow","28, 30, 32, 34",Denim,2-3 days,Tamil Nadu,2023-02-09,773846
P00133,Polo T-shirt,Dresses,Shorts,H&M,9764,8,5.0,901,Out of Stock,"Pink, Purple","7, 8, 9, 10",Silk,2-3 days,Tamil Nadu,2021-09-18,8797364
P00134,Ankle Boots,Outerwear,Skirts,Uniqlo,8213,8,4.6,584,Out of Stock,"Grey, Black","28, 30, 32, 34",Polyester,6-7 days,Delhi,2023-08-11,4796392
P00135,Woolen Sweater,Dresses,Western Wear,Tommy Hilfiger,1373,17,4.6,313,Out of Stock,"Blue, Black","30, 32, 34, 36",Leather,6-7 days,Maharashtra,2024-08-28,429749
P00136,Cotton T-shirt,Outerwear,Jeans,Reebok,9444,17,3.8,300,Out of Stock,"Red, White","28, 30, 32, 34",Silk,6-7 days,Uttar Pradesh,2024-05-20,2833200
P00137,Ethnic Kurta,Dresses,Shorts,H&M,4174,30,3.2,997,Out of Stock,"Red, White","30, 32, 34, 36",Leather,4-5 days,Uttar Pradesh,2021-10-04,4161478
P00138,Ethnic Kurta,Outerwear,Western Wear,Harley Davidson,5819,39,4.2,573,Out of Stock,"Grey, Black","30, 32, 34, 36",Cotton,4-5 days,Uttar Pradesh,2023-12-30,3334287
P00139,Ankle Boots,Outerwear,Formal Wear,Van Heusen,4262,27,4.6,728,In Stock,"Red, White","28, 30, 32, 34",Silk,1 week,Tamil Nadu,2023-11-03,3102736
P00140,Sneakers,Outerwear,Blouses,Van Heusen,4315,30,4.4,601,Out of Stock,"Green, Yellow","28, 30, 32, 34",Leather,1 week,Karnataka,2021-06-06,2593315
P00141,Blazer,Outerwear,Sweaters,FabIndia,854,30,4.1,868,In Stock,"Green, Yellow","28, 30, 32, 34",Leather,10 days,Gujarat,2020-07-13,741272
P00142,Ethnic Kurta,Outerwear,Blouses,Tommy Hilfiger,4845,26,4.0,851,In Stock,"Pink, Purple","7, 8, 9, 10",Wool,10 days,Gujarat,2020-02-03,4123095
P00143,Casual Shorts,Bottomwear,Formal Wear,Mango,1822,7,3.7,458,In Stock,"Green, Yellow","M, L, XL",Silk,4-5 days,Karnataka,2021-08-01,834476
P00144,Leather Jacket,Dresses,Jeans,Uniqlo,4629,24,4.8,134,Out of Stock,"Red, White","M, L, XL",Linen,10 days,Tamil Nadu,2023-04-19,620286
P00145,Track Pants,Outerwear,Shorts,Ralph Lauren,693,34,3.8,707,Out of Stock,"Grey, Black","S, M, L, XL",Polyester,2-3 days,Uttar Pradesh,2023-08-24,489951
P00146,Ethnic Kurta,Bottomwear,Pants,Uniqlo,2258,27,4.1,990,In Stock,"Red, White","28, 30, 32, 34",Wool,4-5 days,Gujarat,2022-09-28,2235420
P00147,Woolen Sweater,Bottomwear,Sweaters,Nike,2979,10,3.2,222,Out of Stock,"Blue, Black","S, M, L, XL",Wool,1 week,Uttar Pradesh,2021-12-15,661338
P00148,Sports Shoes,Footwear,T-shirts,Vero Moda,9120,43,3.4,843,Out of Stock,"Blue, Black","30, 32, 34, 36",Wool,2-3 days,Maharashtra,2020-04-19,7688160
P00149,Denim Jacket,Topwear,Jackets,Puma,3712,30,3.8,841,Out of Stock,"Blue, Black","M, L, XL",Silk,6-7 days,Karnataka,2024-02-09,3121792
P00150,Blazer,Topwear,Sweaters,Tommy Hilfiger,9646,34,3.0,173,In Stock,"Pink, Purple","M, L, XL",Denim,2-3 days,Gujarat,2020-01-29,1668758
P00151,Chinos,Topwear,Western Wear,Arrow,6965,17,3.2,186,Out of Stock,"Grey, Black","6, 7, 8, 9",Linen,1 week,Karnataka,2022-09-23,1295490
